,Player,Min,Team,PTS,REB,AST
292,Jeremiah Robinson-Earl,12.1,IND,3.3,5.7,0.7
293,Jordan Hawkins,12.9,NOP,3.3,1.5,0.5
294,Ja'Kobe Walter,11.9,TOR,3.2,1.8,0.8
295,Tyus Jones,11.1,ORL,3.2,1.0,1.0
296,Elijah Harkless,13.8,UTA,3.0,1.3,1.0
297,Jonathan Isaac,11.6,ORL,3.0,3.0,0.3
298,Jabari Walker,12.5,PHI,2.8,2.6,0.2
299,Jordan McLaughlin,10.0,SAS,2.8,1.0,1.6
300,Egor Dëmin,16.6,BKN,2.8,1.5,2.8
301,Adem Bona,16.7,PHI,2.4,3.8,0.0
302,Amir Coffey,11.4,MIL,2.4,1.8,0.8
303,Chris Paul,11.8,LAC,2.4,1.6,3.0
304,Larry Nance Jr.,18.1,CLE,2.4,3.4,1.8
305,Nicolas Batum,15.1,LAC,2.4,3.0,1.0
306,Ochai Agbaji,11.3,TOR,2.4,2.0,0.8
307,Al Horford,20.6,GSW,2.3,4.8,1.3
308,Bronny James,11.9,LAL,2.3,0.5,2.0
309,DeAndre Jordan,12.3,NOP,2.0,5.0,0.0
310,Micah Peavy,11.0,NOP,2.0,1.7,1.0
311,Nolan Traore,12.1,BKN,2.0,0.5,1.5
312,Jared McCain,15.2,PHI,0.0,1.0,2.0
313,Jevon Carter,12.2,CHI,0.0,0.0,2.0
